"","ISO3","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT"
"1","AGO",9.32387205850737e-06,0.317360623074792,2.16058676177523,2.46074818426154,2.22420365477388,1.34623930178794,0.865865234638574,0.58460806505981,0.419029244078869,0.329631737070897,0.252346663527931,0.191434093524702,0.145399997831044,0.112793309235319,0.0897455395812159,0.0982150992395419,11.5982168333333
"2","ARE",0.122443096298174,10.8259260506009,13.1764581804392,8.4963819993539,5.30079686581315,3.36889701038659,2.16051139184778,1.54397311789759,1.14083304853763,0.807435839589115,0.590977037550057,0.450414626543828,0.345528222833647,0.281907074678448,0.235498890364191,0.252924854958136,49.1009073076923
"3","ARG",0.114571735288623,3.6737280646032,3.83614608769686,1.94861606695944,1.12185837843671,0.626676890701739,0.358629705370412,0.2273650646306,0.156054787857138,0.1104781699777,0.0831766724831308,0.0656206791589452,0.0538414144351568,0.0461921520037976,0.041635934308702,0.0591693396775789,12.5237611435897
"4","ARM",0.165839051292322,2.1741469786281,2.33733708124594,1.22721160580376,0.803443529629873,0.565732226869454,0.380062526266429,0.274231956273326,0.199564252319471,0.14794929215591,0.116087130444751,0.0968400385598807,0.0833415657522421,0.0743074128445015,0.068975577143203,0.102181241437517,8.81725146666668
"5","AUS",0.189437094428356,2.49807097571892,2.73768158227199,2.65876550557915,2.08340462570113,1.33040607109952,0.774717490585437,0.501497471217315,0.345172362286369,0.24694989984269,0.180830187107216,0.136756894706398,0.106186815551682,0.0879279659995824,0.0764455264192272,0.0961791890607726,14.0504296575758
"6","AUT",0.17021636191304,14.694085430576,4.95127351592611,1.95370121385445,1.073069294164,0.650805303406464,0.392997847122002,0.258084982625819,0.18214345736828,0.13180514200782,0.103173447858203,0.0833912550302073,0.0682704862589661,0.060013221017392,0.0550100597096898,0.0960040273710308,24.9240450462095
"7","AZE",0.208696490085405,4.68242020254226,5.23879759731477,3.35194882897977,1.84796810695422,1.13782936359097,0.72442287671705,0.509697989026435,0.37045154076383,0.267132374348102,0.203588176219677,0.160504757724492,0.130507696861469,0.109060928147803,0.0960332774579177,0.128043975084024,19.1671041818182
"8","BEL",0.220955700507915,18.8158255662209,6.30480929124461,2.17118117642685,1.07939575729636,0.584305088543922,0.318742729156203,0.191650469380194,0.126717500915254,0.0833162852191915,0.0589731898290214,0.0432610260644588,0.0324816894310533,0.0267171586820414,0.0225224568567213,0.0232880259924545,30.1041431117671
"9","BEN",0,0.0427501437694603,0.105081725462808,0.108648213981869,0.0615475971224443,0.0320279674601466,0.0171671042361615,0.0103612520972178,0.00679510049296577,0.00454745893255881,0.00323521944341928,0.00247529552046038,0.00200890782420578,0.00169432253113754,0.00153268896141521,0.00250080216372885,0.4023738
"10","BFA",0,1.50489406514188,3.08516380821273,2.34588036236601,1.26038724564947,0.666391862812701,0.380257464431297,0.222881615295803,0.131350268544438,0.0815673735376987,0.0532491327973658,0.0382995457801094,0.0304230651441413,0.0253950966854373,0.0237348624353705,0.0303242311655312,9.88019999999999
