"","ISO3","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT","emis_ty"
"1","AGO",8.03905651402422e-07,0.0273628806596111,0.186286115600606,0.212166078598336,0.191771173684346,0.116072955104515,0.0746550307759442,0.0504049953075238,0.0361287644558064,0.0284208979542039,0.0217573672879339,0.016505476339649,0.012536409684389,0.0097250560888938,0.00773787392241942,0.0084681206301706,1,139.178602
"2","ARE",0.00249370333486673,0.220483218013873,0.26835467821131,0.173039205693513,0.107957208053113,0.0686117058749097,0.0440014555802172,0.0314448999531157,0.0232344596279772,0.0164444179112474,0.0120359698008569,0.00917324447227199,0.00703710464387926,0.00574138218896585,0.00479622278440661,0.00515112385547532,1,1276.62359
"3","ARG",0.00914834880472523,0.293340636449585,0.306309426035355,0.155593518961102,0.0895783914731504,0.0500390324852612,0.0286359426100981,0.0181546950651463,0.0124606965964865,0.00882148491264125,0.00664150901070999,0.00523969424253456,0.0042991409543702,0.0036883609863033,0.00332455512615819,0.00472456628637194,1,1465.2800538
"4","ARM",0.0188084747179175,0.246578765145509,0.265086811925708,0.139183010765111,0.0911217665354407,0.0641619703156006,0.0431044217921245,0.0311017506203663,0.0226333855934491,0.0167795250838913,0.0131659090005104,0.0109830187928723,0.0094521026271409,0.0084275029611459,0.0078227980004838,0.0115887861227288,1,26.4517544
"5","AUS",0.0134826549112834,0.177793208933792,0.194846823121589,0.189230192269998,0.148280492232335,0.0946879279511703,0.0551383487527531,0.035692678689503,0.024566676656771,0.0175759678430573,0.0128700823757169,0.00973328916191975,0.0075575493518398,0.00625802684633015,0.00544079635159121,0.00684528455034927,1,3245.6492509
"6","AUT",0.00682940355778753,0.589554600921841,0.198654492348509,0.0783862013662814,0.043053577064819,0.0261115441815268,0.0157678196453818,0.0103548594197822,0.00730794126838494,0.00528827250004771,0.00413951457987331,0.00334581545152879,0.00273914150501621,0.00240784434894604,0.00220710801989406,0.0038518638203806,1,573.253036062819
"7","AZE",0.0108882639811273,0.244294607997382,0.273322331199319,0.174880294758319,0.0964135264995945,0.0593636551874284,0.0377951134321184,0.0265923315380073,0.0193274652889526,0.0139370231316164,0.010621749341395,0.00837397012099228,0.00680894180067474,0.0056900054965662,0.00501031749746601,0.0066804027290406,1,210.838146
"8","BEL",0.00733971067329756,0.625024452493588,0.209433275274996,0.0721223377249419,0.0358553888509267,0.0194094575744801,0.0105880020558238,0.00636624894681961,0.00420930436202061,0.00276760195132824,0.00195897254441266,0.0014370455888362,0.00107897737897601,0.000887491086620506,0.000748151401390252,0.000773582091541137,1,1174.06158135892
"9","BEN",0,0.106244849365094,0.261154492322334,0.270018112466242,0.152961244301802,0.0795975470076496,0.0426645677133092,0.0257503149986849,0.0168875321727353,0.0113015781160672,0.00804033325087091,0.00615173135144579,0.00499264073407805,0.00421081723297475,0.0038091171975293,0.0062151217691829,1,1.2071214
"10","BFA",0,0.152314129789061,0.312257222344966,0.237432477314833,0.127566976948794,0.0674472037825856,0.0384868185291085,0.0225584112969174,0.0132942924783342,0.00825563992001162,0.0053894792410443,0.00387639377544072,0.00307919527379419,0.00257030188512756,0.00240226538282327,0.00306919203715828,1,39.5208
"11","BGD",0.000122509797484015,0.155873423859392,0.267390503124249,0.205755324224073,0.120879410926248,0.0709241606089893,0.046474052227567,0.032876039781979,0.0243602232574292,0.0182223722826138,0.0141111680341426,0.0112398457161397,0.00906525618169249,0.00760259751844068,0.00655782936155906,0.00854528309800029,1,647.4874854
"12","BGR",0.000837414113914041,0.0292643496817655,0.116395845153458,0.185151583283592,0.247099984774833,0.200683064589339,0.0936091010702535,0.0417131734177419,0.0247691205412783,0.0165128854608315,0.0122322177363535,0.00919259012749977,0.0071934686819385,0.00567715374865757,0.00483811292138434,0.00482993469715909,1,414.027788251222
"13","BHR",0.00245021052569626,0.253698080899036,0.285842938567298,0.162506093383966,0.0862209810067407,0.0551537483220837,0.0356087379406748,0.0262787771813652,0.0210545595784712,0.016562325085707,0.013317461749207,0.0110499498409326,0.00875623350131131,0.00744853173197709,0.00639057419179098,0.00766079649374227,1,363.3424614
"14","BIH",0,0,0.135237560824249,0.237949163460823,0.22094274421071,0.149611474185256,0.0834447404222062,0.0453961281547242,0.0304196695470994,0.0233872526239316,0.0182510247249651,0.014870488580077,0.0122414700128836,0.010242068551247,0.00860186156127905,0.00940435314054989,1,139.3465053
"15","BLR",0.00212839492163162,0.140752476019502,0.202036144858391,0.223164521768982,0.185018408125454,0.0976715095953932,0.0499558579960702,0.0297043838795811,0.019755857836341,0.0136139049150279,0.00977518802731212,0.00733848936440334,0.00566315769395839,0.00463499683035907,0.00402030887650359,0.00476639929108964,1,431.3349003
"16","BOL",0.0147525375133799,0.207534408385226,0.237640862221029,0.162822062252695,0.101999964631828,0.0719691067016411,0.0489573486038434,0.0356215128868289,0.0268623882497255,0.0196071285216843,0.0153416135570494,0.0127160126866176,0.0109237812165227,0.00965117209904077,0.00904515348520795,0.0145549469876809,1,62.8318854
"17","BRA",0.00103581235757754,0.399010258797955,0.325022324037593,0.122916751167167,0.0619876002157379,0.0326800478683535,0.0180930833975911,0.0112772116444221,0.00744404866796613,0.00510491045048993,0.00376580801357202,0.0029132441319914,0.00233210559227974,0.00196758769951826,0.00176142133987122,0.00268778461791526,1,12891.2447534
"18","BRN",1.52441462673514e-05,0.0271963614705747,0.0702500829493354,0.114176427104811,0.125746329132064,0.118406732750859,0.106158723891848,0.0957494738560387,0.0835415742476063,0.067123043828213,0.0525259753111449,0.0405500683854406,0.0308337373261726,0.0243670573968866,0.0201454440924653,0.0232137241102725,1,48.6829465
"19","BWA",0,0.00162980593339115,0.267422883829811,0.334925869344776,0.173455517667243,0.0990529884337346,0.0505509030277314,0.0258130890211892,0.0155250849036121,0.00990721753080669,0.00653140323376487,0.00475716611541491,0.00348240060712212,0.0026651149439855,0.00215207113506134,0.00212848427235696,1,44.4489653
"20","CAN",0.0152773723948536,0.302184768740516,0.297999546896592,0.171793784571908,0.0857705683821028,0.0463779067217014,0.0255046421070939,0.0158140667141761,0.0106301484749316,0.00737797318831669,0.00539892748399731,0.00417012213184075,0.00329122207158835,0.00274504270997016,0.0024132158422842,0.00325069156812721,1,3969.121873
"21","CHE",0.00334394448075061,0.752447878554605,0.1830471160288,0.0360835705777085,0.0128168506593706,0.00507949513725189,0.00257404190797251,0.00147438692602316,0.000903327956160405,0.00060010462632192,0.000442698336469923,0.000330480955316265,0.000263909124618086,0.000215401829841638,0.00017600995432743,0.000200782944462375,1,1205.34428926033
"22","CHL",0.0217363534731182,0.446079518538243,0.296344007350904,0.107401668235483,0.0530334263120158,0.0294334077894102,0.0158100173959565,0.00924427884450152,0.00594476640214379,0.00406139860334876,0.00291070016312706,0.00219439262253735,0.00169934400037255,0.00140347074618389,0.00123595946612426,0.00146729005652958,1,5010.1078832294
"23","CHN",0.00152562512876536,0.158020677248046,0.243497394727582,0.232319718476615,0.138957536232218,0.0793527038950743,0.044912275657121,0.0286139002795594,0.0201390449666988,0.014230467646977,0.0104520532320616,0.00805799459160494,0.00630892533231609,0.0050554391516716,0.00420790440259207,0.00434833903109698,1,70123.0259633703
"24","CIV",0,0.103899309710769,0.185228436825651,0.208337632508488,0.160414419285372,0.111605987891307,0.0752308727453142,0.0515894029991337,0.0346702315767687,0.0219706570977623,0.0149013720814803,0.0105844011090303,0.00744306914988601,0.00564479441129477,0.00440735691068166,0.00407205569705994,1,58.3866551
"25","CMR",0,0.0395485892319314,0.165356794327902,0.200629071782838,0.173866239861886,0.113432867542417,0.0805312779797869,0.0590841985738516,0.0433879094571438,0.0321387401606261,0.0243109653272614,0.0186872378136774,0.0148084057094634,0.0121434228425618,0.0101714863560358,0.0119027930326172,1,69.656742
