"","ISO3","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT"
"1","AGO",0.523069222482264,8153.11811653239,55192.1400556717,62906.523509112,56893.1190152552,34511.3416192354,22248.7447447393,15058.409243978,10812.3291223696,8505.35304062011,6514.44755459089,4945.89930583383,3759.13555278622,2918.83767451584,2325.35525460623,2547.39368593056,297292.670565
"2","ARE",6869.05770232759,601749.186187407,726984.896730878,467316.503907746,292754.863677847,187079.273728169,120215.037010698,86026.755509,63623.0700474185,45053.1725112393,32990.8531393191,25160.0140470334,19307.2420836993,15756.8429604034,13167.9495081018,14148.5544410203,2718203.27319231
"3","ARG",4136.52458667803,90058.6597323313,105132.138142697,60275.6977705037,34799.2980402036,20132.2739107068,11661.4513529138,7374.53736293178,5116.10448562405,3658.9920398309,2767.25549999383,2201.66106728019,1801.88852992828,1526.92680730065,1364.71221690336,1938.51032297604,353946.631868803
"4","ARM",9303.57077749922,121969.645501036,131124.610257897,68846.5710855907,45073.1820122358,31737.5779273763,21321.5077235466,15384.4127469336,11195.5545551223,8299.95528994657,6512.48801795051,5432.7261632093,4675.46183870078,4168.64586057653,3869.52987773368,5732.36764464471,494647.80728
"5","AUS",1853.86590568878,33919.327754892,106813.001238626,185668.532587708,165600.31994712,109508.043834836,63704.7379916938,41456.3205102215,28687.1484861474,20715.9170353546,15169.4936363653,11447.6650361644,8859.26886061639,7317.13226873159,6344.15313911108,7808.97626728539,814873.904500563
"6","AUT",3078.02596275579,87772.7696098297,74604.2633145116,50804.9301127859,31307.5644858459,19991.4267497451,12195.5227733514,7958.11237478126,5663.45424845275,4125.71746802124,3229.7887804006,2646.93991884587,2153.99947832803,1880.56716519752,1716.70205788009,2870.08685530871,311999.871356042
"7","AZE",11707.8730937912,262118.506327333,292536.341790072,186885.731235476,103048.47886868,63486.6547653325,40432.4182347513,28461.5671973451,20692.6375799589,14921.9976585368,11374.4555322062,8969.42624206291,7294.65306962146,6096.72555368552,5369.71906112412,7165.10786638676,1070562.29407636
"8","BEL",3970.26468528008,146352.745553299,107044.364829464,58988.5969911541,36990.0477880159,22913.7210108448,13436.0857576778,8491.68861177717,5877.40581444165,3913.0655886158,2869.25312730151,2083.91515767604,1583.12804117462,1310.22601607586,1104.64032096503,1102.83115874531,418031.980452508
"9","BEN",0,2131.32958259977,4176.29749401622,4276.52177492436,2531.03583080616,1412.01119781831,783.143578568223,484.876176599046,322.865035817545,216.613233761837,155.561028817224,121.708041004673,99.6133542776528,85.3669818157088,77.7604703891214,132.216658784148,17006.92044
"10","BFA",0,38565.0968885939,79061.8050378781,60116.5926288408,32299.2543937218,17077.2596891858,9744.65000433198,5711.66521794911,3366.04147101975,2090.28245661458,1364.586393907,981.481506247948,779.635246166777,650.786249247891,608.240334425939,777.10248186843,253194.48
"11","BGD",67.42502660332,72160.213990338,113788.855048882,86229.2660751175,53070.7758907846,33751.7249126964,22741.6619466773,16445.129539408,12421.9996819355,9370.4311392681,7321.95482546059,5896.89512958943,4786.94008180777,4035.28433429565,3495.90871028029,4584.04139124913,450168.507724394
"12","BGR",618.706514467062,21621.37404769,116253.469893506,198156.204125251,268823.514932599,219091.165241773,101829.646638259,45028.8278016819,26598.8463642316,17700.7748454387,13096.038952636,9816.17676571746,7667.7111196549,6028.80018164298,5129.19692100044,5081.50654118375,1062541.96088673
"13","BHR",2774.66088112205,287251.106678409,323631.203229081,183990.376542803,97625.0141193316,62450.9091543621,40320.3256019131,29755.8460738504,23840.5626995925,18754.158639798,15080.0735712039,12512.5914189325,9915.32370422376,8434.5493000765,7236.5740977133,8674.95801758686,1132248.23373
"14","BIH",0,0,190333.303010167,334889.582109973,310954.752699257,210563.144413015,117440.102931351,63890.4973063687,42812.6339020682,32915.2124093025,25686.4867870346,20928.7212189465,17228.6412669037,14414.6842425589,12106.2574111502,13235.6838219013,1407399.70353
"15","BLR",2861.25898528379,189217.368740482,271602.665911745,300006.115697064,248725.261139992,131302.457826678,67157.014004357,39932.4084144195,26558.3351903916,18301.5413948938,13141.050230727,9865.33016918312,7613.13639317261,6230.9518749745,5404.61019691486,6407.59976472118,1344327.105935
"16","BOL",5200.07587730335,73153.1555012593,83765.285394216,57392.6402454572,35953.6489967713,25368.1656685063,17256.822920171,12556.115834842,9468.6393454323,6911.2555013892,5407.71745230733,4482.22760099354,3850.48952707019,3401.91151348763,3188.29790483686,5130.42780995636,352486.877094
"17","BRA",63.7355452772991,17731.2076496697,19739.6284165981,12342.7522474585,7497.65645719668,4088.30262656265,2395.57008481556,1631.15920400753,1177.74864808745,851.085304810556,646.563150406208,515.862429510004,422.873994833545,362.539389322038,331.487910430421,529.02745103809,70327.2005100243
"18","BRN",6.93891509955486,12379.3907478632,31976.8226290326,51971.4597430487,57237.9119581665,53897.0337442614,48321.9170981232,43583.776897828,38026.9174029657,30553.4396075165,23909.0649494716,18457.8051714406,14035.0716764318,11091.5324176008,9169.91504469036,10566.5517714595,455185.549775
"19","BWA",0,198.816303140247,123973.574468103,155894.152262636,80741.6414498667,46139.9971178484,23547.4174102233,12022.9373034738,7232.45499429576,4614.69168646967,3042.00387989154,2216.21326055873,1622.2735939485,1241.59619189055,1002.63864901056,991.600000865571,464482.008572222
