"","ISO3","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT","emis_ty"
"1","AGO",1.58867774420922e-07,0.0273212496488702,0.18671608203574,0.212549586833358,0.192041486234347,0.116064547236254,0.0745316170353935,0.0502383882133814,0.0359663838166909,0.028293676043937,0.0216525947050954,0.0164170515801187,0.0124634012386185,0.00966227260071024,0.00768123878475601,0.00840026512495584,1,9138.48199113932
"2","ARE",0.00253286999568402,0.221533383767538,0.267292984019333,0.171726280441841,0.107657071474794,0.0688617043736548,0.0442650299571715,0.0316838460490113,0.0234362372184317,0.0165973008955503,0.0121546125008353,0.0092705598161643,0.00711441454785769,0.00580643987545194,0.00485274513440739,0.0052145199322737,1,34989.6545862747
"3","ARG",0.0117248006548395,0.263340778654606,0.298566484734117,0.165354192195617,0.0953958589006052,0.0555947320926663,0.0324134197636692,0.0205658941578835,0.0142934873720481,0.0102312860484246,0.00773929133737723,0.00615688563700596,0.00504521515884156,0.00428617446744497,0.00383654300280389,0.00545495582204952,1,22983.3503299919
"4","ARM",0.0188084747179175,0.246578765145509,0.265086811925708,0.139183010765111,0.0911217665354407,0.0641619703156006,0.0431044217921245,0.0311017506203663,0.0226333855934491,0.0167795250838913,0.0131659090005104,0.0109830187928723,0.0094521026271409,0.0084275029611459,0.0078227980004838,0.0115887861227288,1,668.458187374919
"5","AUS",0.00832355605315899,0.147241429464267,0.20005206174358,0.194006924919111,0.147487161071464,0.0971156203189163,0.0596209592407057,0.0398300849663448,0.0280122316473843,0.0200834423052952,0.014807090602195,0.0113791399855687,0.00897632459191153,0.0075143703679782,0.006603431156067,0.0089461715660542,1,38072.2448598652
"6","AUT",0.0110544202154241,0.279198646369482,0.243846070487793,0.157862007261703,0.0980089486362364,0.0638428612905712,0.0396632251085617,0.0261792954389259,0.0187192006566758,0.0136407689454299,0.0106699728711093,0.00870231640334155,0.00708407970130657,0.0062034325592437,0.00567695781986033,0.00964779623433433,1,2108.69429212801
"7","AZE",0.0109516495533749,0.245018434664279,0.273233086615809,0.174467034829789,0.0962057252813846,0.0592823220341632,0.0377585396373839,0.0265834611319287,0.0193291725971614,0.013938933291314,0.0106257164074267,0.00837961532412764,0.0068154358839845,0.00569645448909579,0.0050175594250769,0.00669685883370072,1,5297.22057574953
"8","BEL",0.0110885582771864,0.293596336542837,0.276954859719584,0.157319545061111,0.0974531182238835,0.0588006017379869,0.0337070368530119,0.0209965266049707,0.0142843502298358,0.00970838960503616,0.00704914798456593,0.00531378475364201,0.00415845307649918,0.00348195354496799,0.00296451212859526,0.0031228256562867,1,10487.5823213835
"9","BEN",0,0.0692942006937845,0.291351752061822,0.305969107286384,0.160975225676968,0.0729573287253878,0.0361099265114778,0.0204038608298879,0.0128260800541879,0.00852164603611429,0.00589689133486363,0.00420574477124354,0.00331796243744634,0.00264433337743009,0.00233088146216416,0.00319505874083799,1,42.7911181306131
"10","BFA",0,0.152314129789061,0.312257222344966,0.237432477314833,0.127566976948794,0.0674472037825856,0.0384868185291085,0.0225584112969174,0.0132942924783342,0.00825563992001162,0.0053894792410443,0.00387639377544072,0.00307919527379419,0.00257030188512756,0.00240226538282327,0.00306919203715828,1,2623.64268125073
"11","BGD",8.46853407795181e-05,0.147457498849711,0.286073422814117,0.225686064015603,0.125165621933143,0.0658454590795827,0.0414677991323059,0.0283571092548678,0.0203321215674759,0.0149837744088093,0.0114032902756678,0.00888159981759493,0.00706251356333228,0.00584581817698478,0.00498779077817695,0.00636543099184779,1,15604.4087329471
"12","BGR",0.00211218774045571,0.0738127046143613,0.151298199877103,0.178451018558033,0.217617733121552,0.173140260502205,0.0824826285014584,0.0383892637180398,0.0234495064878888,0.0157833258231196,0.0117676320428237,0.00896374491364157,0.00707896712964723,0.0056932077731437,0.00489219732253107,0.00506742187399554,1,3667.11145742854
"13","BHR",0.00245064329186718,0.253700068187707,0.285828358742817,0.162498927640634,0.0862225066239283,0.0551570645434189,0.0356112394037853,0.0262806018942464,0.0210562044122325,0.0165638868948301,0.0133189250783968,0.0110513131109328,0.00875737592842279,0.00744953693102593,0.00639147009128107,0.0076618772244738,1,10113.1012912324
"14","BIH",0,0,0.135237560824248,0.237949163460823,0.22094274421071,0.149611474185256,0.0834447404222062,0.0453961281547242,0.0304196695470994,0.0233872526239316,0.0182510247249651,0.014870488580077,0.0122414700128836,0.010242068551247,0.00860186156127905,0.00940435314054989,1,2524.86518207459
"15","BLR",0.00212839492163162,0.140752476019501,0.202036144858391,0.223164521768982,0.185018408125454,0.0976715095953932,0.0499558579960702,0.0297043838795811,0.019755857836341,0.0136139049150279,0.00977518802731211,0.00733848936440334,0.00566315769395839,0.00463499683035907,0.00402030887650358,0.00476639929108964,1,18604.2767673072
"16","BOL",0.0147525375133799,0.207534408385226,0.237640862221029,0.162822062252695,0.101999964631828,0.0719691067016411,0.0489573486038434,0.0356215128868289,0.0268623882497255,0.0196071285216843,0.0153416135570494,0.0127160126866176,0.0109237812165227,0.00965117209904078,0.00904515348520796,0.0145549469876809,1,1932.68477188573
"17","BRA",0.00109989734784718,0.29488440314786,0.286072651188333,0.149450064161145,0.0871264048724759,0.0525450005974931,0.0332017462869495,0.0230330130760001,0.0168698069159208,0.0124621704683196,0.00967912490301316,0.00784672302838014,0.00650393494084099,0.00562445941562207,0.00518230123331047,0.00841829841648952,1,54827.5428421371
"18","BRN",1.52441462673514e-05,0.0271963614705747,0.0702500829493354,0.114176427104811,0.125746329132064,0.118406732750859,0.106158723891848,0.0957494738560387,0.0835415742476063,0.067123043828213,0.0525259753111449,0.0405500683854406,0.0308337373261726,0.0243670573968866,0.0201454440924653,0.0232137241102725,1,978.622297402456
"19","BWA",0,0.014818452977419,0.273082615724997,0.327197156844416,0.169328467103097,0.0959420961913724,0.0489576679256795,0.0250281515648096,0.0150210620577779,0.00960083533003798,0.00633566219916488,0.00460134073249683,0.00336990792488132,0.00257773591079017,0.00208023695983044,0.00205861055323065,1,312.811060060794
"20","CAN",0.008467759716843,0.196541945112965,0.279633650265475,0.198883619217045,0.111743234363085,0.0677307800286467,0.0406421172728675,0.0265438634726214,0.0186779588423476,0.0131819142047939,0.00970085144146943,0.007543661557766,0.00594363360431865,0.00490321274152056,0.00429935965781184,0.00556243850042245,1,43530.6274349783
