"","CC","species","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT","emis_ty"
"1","AF","CO2",0.00208592665000725,0.0983256230836911,0.190988393046101,0.221628711329397,0.175296394295724,0.108672746387432,0.0624271543727212,0.039555872113182,0.0272352736608963,0.0193508116639492,0.0142954224459237,0.0109304152698967,0.00863244061718646,0.00715806679310518,0.00620378663535315,0.0072129616354338,1,482830693.22174
"2","AS","CO2",0.00129131302470812,0.0443450417881032,0.208355951216773,0.259478324096075,0.179213453535884,0.10475248351843,0.0593663260082194,0.0392415613607966,0.0284918915439415,0.0205465770920088,0.0151542901298088,0.01156034082955,0.00894757408920742,0.00711546738072206,0.00590008171901002,0.00623932266676217,1,8658850668.9105
"3","EU","CO2",0.00663278578562586,0.124932983057667,0.225816498264338,0.239832239950314,0.170155399662988,0.0962142579734128,0.0480679362247332,0.026461370142697,0.0172363308749047,0.0119479816702299,0.00874852481246037,0.00671258695573864,0.00526254416538027,0.00427380268555379,0.00361065908172798,0.00409409869222831,1,1712630501.23307
"4","NA","CO2",0.0160544190920239,0.150930670925374,0.255264207126736,0.21059980363636,0.129810534535178,0.0769350078612372,0.0460343186275835,0.0296538674035171,0.0208026160660015,0.0152339631333108,0.0116070637331009,0.00925909671788449,0.00760715639706609,0.00648880952721409,0.00578906351874205,0.00792940169866959,1,2230509760.38973
"5","OC","CO2",0.00236961636957719,0.0435602654131893,0.132500389604745,0.2272705749971,0.20215997813912,0.133648544268411,0.0778174224691889,0.0506682593892325,0.03506851232338,0.025310278179326,0.0185319414908511,0.0139884421610705,0.0108293543753664,0.00894661217338716,0.00775919347619175,0.0095706151698629,1,191615550.16263
"6","SA","CO2",0.00785462166646034,0.221069833427056,0.267363657370584,0.188566256890972,0.11770041160064,0.0686055459490726,0.0386144433163538,0.0239677626789833,0.0165672551214128,0.0118418538199175,0.00892700988223688,0.0070956980862431,0.005782109669211,0.00492353819790831,0.00443697604719599,0.00668302627575282,1,234640078.577511
"7","AF","NOx",0.0012407665533185,0.0827979328727002,0.1989665012121,0.232653281408771,0.178977065828816,0.107619315621532,0.0621878083962187,0.0393027753550174,0.026609270913185,0.0187637846557632,0.0137046664093584,0.0103516948217424,0.00809624584918157,0.00662979207955296,0.00568109580874375,0.00641800221399907,1,1005771.89035367
"8","AS","NOx",0.00087971666772151,0.0378887787685015,0.201002327242801,0.263101936200015,0.186503085822875,0.107728754489564,0.0599166971792475,0.0392447095650267,0.0284021673733872,0.0205804601298884,0.0152111269825091,0.0115682483118258,0.00893042689345314,0.00707614308531079,0.00584421941063972,0.0061212018772337,1,10975304.6830928
"9","EU","NOx",0.0108368271000263,0.105061495877402,0.217497992649157,0.243225309463317,0.176613163636601,0.102051954991039,0.0513384237975078,0.0282713942607106,0.0182575871030716,0.0125840035324607,0.00918153200379164,0.00703249537357775,0.00551072489314976,0.00447645701296719,0.00377577006993891,0.00428486823528309,1,1962326.804612
"10","NA","NOx",0.0104218850676151,0.166217155069198,0.260015001863697,0.214780577021272,0.128000111414759,0.0740059102919668,0.0438954156073986,0.0278883685936622,0.0191846726839558,0.0137742750115824,0.0103141200901989,0.00809715613001351,0.00655457484180191,0.00553041627659079,0.00487149557633803,0.00644886445995054,1,1733982.74077113
"11","OC","NOx",0.00137027812677989,0.0265624265403192,0.121709381711002,0.232787277016677,0.211006450021657,0.139556096303068,0.0807764798138245,0.0524257190730547,0.0362067638035048,0.0261504292148658,0.0191290245979264,0.0144060575346683,0.0111255697406531,0.00917522414972593,0.00794344671493053,0.00966937563734343,1,307581.805817815
"12","SA","NOx",0.00532576269938754,0.169194608723423,0.267721782774911,0.218521745996731,0.134085683806308,0.0748853487811604,0.0409752733518113,0.0246910936822561,0.0166334942762551,0.0117445210351807,0.00874963291214477,0.00687039936214261,0.0055544361793894,0.00469013194906808,0.00419066593170364,0.00616541853812774,1,317256.133373402
"13","AF","SOx",2.17033563650857e-05,0.0235838880060354,0.139523983998937,0.245360654406396,0.216295048260333,0.135280602967795,0.0759536919452522,0.0470054416021431,0.0318999902721097,0.022593064773063,0.0166443068717964,0.0126315064719292,0.00994751048336845,0.00823144771244861,0.00713527840070935,0.00789188047131898,1,2393427.14563285
"14","AS","SOx",4.75676183751622e-05,0.0264880235093671,0.187395221284173,0.274497236279342,0.204213154300012,0.113102260527622,0.0594131709782042,0.0376494420898048,0.0268290820705441,0.0195345677882171,0.0144387942622229,0.0108727700385549,0.00831214265359137,0.0065064865282981,0.00530460808959156,0.00539547198207889,1,14403778.7535688
"15","EU","SOx",0.00159952024268003,0.0155278297325038,0.200332683089417,0.285529797491177,0.20819732792669,0.1208180313405,0.0605240863861496,0.0322721647891716,0.0207690957673635,0.0145869530005078,0.0107381405270251,0.00835080172467151,0.00657756168251049,0.0052923516222251,0.00436923637859829,0.00451441829880941,1,2908016.18111679
"16","NA","SOx",0.00508960416306123,0.139344354355286,0.25919703701318,0.235658590881429,0.139538041138231,0.078340292463281,0.0460810293686717,0.0286292135417016,0.019023669541288,0.0132631471386691,0.00955877116324217,0.00722406017013051,0.00568081009930188,0.00465435471939231,0.00398747937837695,0.00472954486475821,1,2075081.77121384
"17","OC","SOx",8.44713729112623e-05,0.00228212959123988,0.104756946321866,0.240438039802963,0.224340559656979,0.148453058307994,0.0851224890225905,0.0550101816900241,0.0378987203515673,0.0274161591993465,0.0200353036940717,0.0150399921151456,0.0115740781513699,0.00952109071318429,0.00822149698091158,0.00980528302783466,1,481102.841717103
"18","SA","SOx",0.000554184669726693,0.0712043682184384,0.241691413586273,0.268004132335639,0.180382831339262,0.101502632863467,0.0501216084137926,0.0265162816885823,0.0166580757286018,0.011381871501266,0.0082302707013335,0.00632938341333329,0.00499017255163105,0.00411082963862387,0.00356444416240233,0.00475749918762831,1,281103.47724984
"19","AF","CO",0.0033510593204576,0.16674405547208,0.262014158915903,0.208634225564282,0.133354078690832,0.0765930084392676,0.0459523248791667,0.0299746488738964,0.0204461216443266,0.0143735309186865,0.0104277459177589,0.00787810728747892,0.00612254329833134,0.00497137629441423,0.004208930178056,0.00495408430506252,1,182964.363888617
"20","AS","CO",0.00506253291410918,0.132596290627688,0.227384724704904,0.208216397964241,0.138432739631135,0.0867058182350327,0.0547177346537529,0.0385687224090018,0.0284575758656461,0.0206629600342246,0.0154114985575336,0.0119389495983823,0.00938072038306355,0.00768615759240748,0.0065875918268234,0.00818958500205387,1,1994767.19761929
"21","EU","CO",0.0159402298862233,0.167928950282326,0.231414357790815,0.210410783391371,0.15162464955615,0.0881281780621678,0.0460057037014877,0.0261496914193257,0.0171777079902962,0.0119065234121419,0.0087326137766407,0.0067249538515381,0.00530422438432662,0.00435444812309862,0.00372781104529604,0.00446917332679561,1,665821.330754078
"22","NA","CO",0.0141310579782339,0.262183939818314,0.249027048528323,0.174071069658027,0.104405584784804,0.0626858102926589,0.0382596671515297,0.024888045929286,0.0174394767947864,0.0126751824116466,0.00962405099363286,0.00765568077874535,0.0062675197194221,0.00535051223642711,0.00477323990134175,0.00656211302282028,1,787950.210709979
"23","OC","CO",0.00839906779238134,0.149556139294982,0.201891860452025,0.193111962226375,0.145997835182959,0.0961771217702009,0.0592110411991257,0.0396252456349534,0.0279000710956045,0.0199980386469804,0.0147495148636071,0.0113451777236265,0.00895791207601065,0.0075039201621757,0.00659851130519302,0.00897658057379935,1,39937.0294878223
"24","SA","CO",0.00874455759749548,0.274070418961633,0.284007524434322,0.164432540783698,0.0938092561169571,0.0546565390277126,0.0332548885733781,0.0221462350905624,0.0157353735910371,0.0114047892347207,0.0087076736982817,0.00696969511450609,0.00572860493393301,0.00491718659020287,0.00447624540675193,0.00693847084480864,1,128139.168158931
"25","AF","CH4",0.00205069563533655,0.174075136916681,0.251100792592423,0.196377499192052,0.135708480481621,0.0816982174700857,0.0480919504514702,0.0311066995187121,0.0213571906034364,0.0151872090459698,0.0112221122260593,0.008608169918255,0.00680464483339089,0.00566358027014994,0.00491752103125201,0.00603009981310431,1,10251.21926
"26","AS","CH4",0.00293855334960402,0.196675599936789,0.238109884905211,0.20451559250348,0.132555966326997,0.0766810199136395,0.0439769812574805,0.0290418203994986,0.0208080548567329,0.0148953963303007,0.010945019267754,0.00832458156508979,0.0064424002262491,0.00514270492628444,0.0042822325130518,0.00466419172183738,1,153728.925015975
"27","EU","CH4",0.0172276677949778,0.290683566976689,0.223517819679378,0.183547268314758,0.116589697665493,0.0652530818569652,0.0344469372401342,0.0202090411789837,0.0136820504859535,0.00959362048644576,0.00695689103513722,0.00526990465095506,0.00405972285032944,0.00319917193327648,0.00272258501062812,0.00304097283989474,1,75095.6958077459
"28","NA","CH4",0.0188266227267368,0.336991052595695,0.2503624354263,0.149021320527503,0.0859839403329384,0.0506533023405573,0.0308045061588558,0.0201250004396744,0.0140909672040934,0.0102464911874354,0.00779944268609906,0.00621284426341812,0.00509958905773683,0.0043619426326084,0.00390546881842939,0.00551507360191846,1,59873.0618187545
"29","OC","CH4",0.0134020611886439,0.177660553629341,0.195310638147994,0.18919489046493,0.148012106133156,0.0945491151733305,0.0551350019877112,0.0357241799507501,0.0246012603114724,0.0175943446160347,0.0128838432858604,0.00974781690979019,0.00757269019812013,0.00627287330327601,0.00545581415603635,0.00688281054355342,1,3299.4985509
"30","SA","CH4",0.00718916254766278,0.389289067275372,0.313547600611404,0.128215203636125,0.0652711804502059,0.0348018845585399,0.0194252441386371,0.0120790966129364,0.00800967729727402,0.00553660562115674,0.00408632735535927,0.0031642281016374,0.00253479168376694,0.00213941926461729,0.00191484286367307,0.00279566798163278,1,21221.0586456294
