"","ISO3","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT","emis_ty"
"1","AGO",9.70809430055569e-08,0.0273172619012758,0.186757267622804,0.212586322286437,0.192067378909106,0.116063741864108,0.0745197954908705,0.0502224292677043,0.0359508297143161,0.0282814897227882,0.0216425587581474,0.0164085815570316,0.0124564079120377,0.00965625870146726,0.00767581382317179,0.00839376538779168,1,40805.0923585072
"2","ARE",0.00249336860570227,0.22047424300559,0.26836375174483,0.173050426317465,0.107959773103694,0.0686095693182859,0.0439992030003666,0.0314428578533972,0.0232327351806322,0.0164431113307903,0.0120349558473821,0.00917241278830736,0.00703644393196196,0.00574082618790309,0.00479573972870071,0.00515058205499058,1,70871.4832079708
"3","ARG",0.00934162162483104,0.240543633284752,0.306202946865132,0.18037702018963,0.100405883680262,0.0564312356935477,0.0324752329339695,0.0203021855880813,0.0138676692888682,0.00986006840492448,0.0073868383189487,0.00579588035918566,0.00470694961753697,0.00395224336240582,0.00349087340120138,0.00485971738672212,1,49836.6681525367
"4","ARM",0.0188084747179175,0.246578765145509,0.265086811925708,0.139183010765111,0.0911217665354407,0.0641619703156006,0.0431044217921245,0.0311017506203663,0.0226333855934491,0.0167795250838913,0.0131659090005104,0.0109830187928723,0.0094521026271409,0.0084275029611459,0.0078227980004838,0.0115887861227288,1,2578.31585625284
"5","AUS",0.00130316625752028,0.0252232913928679,0.120707491928439,0.233145711567124,0.211717260780466,0.140072340864469,0.0810340757665227,0.0525758353000112,0.0363095669840577,0.0262391662275148,0.0191973830517706,0.01445634439081,0.0111621940078492,0.00920403596587482,0.00796693817823901,0.0096851973364636,1,303521.488135403
"6","AUT",0.00978089366900695,0.287028361746489,0.241695742234155,0.163601404436793,0.0994503837223612,0.0624864444712129,0.0376195919591822,0.0243533359800105,0.0172674281979691,0.0125733861263216,0.0098472794257946,0.00808946595010756,0.00658504336727341,0.00573823712527429,0.00522878887433109,0.00865421271371787,1,2795.87850560345
"7","AZE",0.0109401500631493,0.244887117120146,0.273249277480376,0.174542008965704,0.0962434248397059,0.0592970775971065,0.0377651749012168,0.0265850704121542,0.0193288628551592,0.0139385867477396,0.0106249966973186,0.00837859116427588,0.00681425771922402,0.00569528450476135,0.00501624558546288,0.00669387334649944,1,20453.4318859275
"8","BEL",0.00960752966105751,0.419310283287673,0.252659631035694,0.126232974259388,0.073880341702156,0.043359787373361,0.0245245967234892,0.0150974779822184,0.0101916341078678,0.00688284013760896,0.00497807879573291,0.00374002690707339,0.00290448002560297,0.00242203992672843,0.0020653982549131,0.00214287981943572,1,6052.2485
"9","BEN",0,0.0621195333424914,0.297215121213435,0.312949672934284,0.162531291743297,0.071668004747912,0.0348372189428354,0.0193657456262478,0.012037472304078,0.0079818696411105,0.0054807015442332,0.00382789466887518,0.0029927919700577,0.00234017090724778,0.00204385403370458,0.00260865638019045,1,175.91886211958
"10","BFA",0,0.152314129789061,0.312257222344967,0.237432477314833,0.127566976948794,0.0674472037825856,0.0384868185291085,0.0225584112969174,0.0132942924783342,0.00825563992001162,0.0053894792410443,0.00387639377544072,0.00307919527379419,0.00257030188512756,0.00240226538282327,0.00306919203715828,1,11720.1278765294
"11","BGD",8.40317263291725e-05,0.142676909576604,0.283147460888793,0.226485791596517,0.125525546425694,0.0668580662052428,0.0426076208099371,0.0293989874947466,0.0211928137339701,0.0156559409664456,0.0119248993412399,0.00929017897245023,0.00737922098844224,0.00608292438244751,0.00517520273525468,0.00651440415588558,1,57140.751357533
"12","BGR",0.000763466222723113,0.0266801599599971,0.114371206836761,0.185540273966335,0.248810210254815,0.2022807853433,0.0942545326713827,0.0419059889166544,0.0248456695648871,0.0165552062271099,0.0122591677230795,0.00920586512834825,0.00720011076187625,0.00567622247644488,0.00483497555853979,0.00481615838774517,1,19271.1326910546
"13","BHR",0.00245018306992472,0.253697954820457,0.285843863547939,0.162506547996699,0.086220884217759,0.055153537932683,0.0356085792415798,0.0262786614170024,0.0210544552260911,0.0165622260006182,0.0133173689119322,0.0110498633516638,0.00875616102286941,0.00744846795962774,0.00639051735367983,0.00766072792947349,1,20168.3968296403
"14","BIH",0,0,0.135237560824248,0.237949163460823,0.22094274421071,0.149611474185256,0.0834447404222062,0.0453961281547242,0.0304196695470994,0.0233872526239316,0.0182510247249651,0.014870488580077,0.0122414700128836,0.010242068551247,0.00860186156127905,0.00940435314054989,1,20201.9895436336
"15","BLR",0.00212839492163162,0.140752476019501,0.202036144858391,0.223164521768982,0.185018408125454,0.0976715095953932,0.0499558579960702,0.0297043838795811,0.019755857836341,0.0136139049150279,0.00977518802731211,0.00733848936440334,0.00566315769395839,0.00463499683035907,0.00402030887650358,0.00476639929108964,1,38437.0689592062
"16","BOL",0.0147525375133799,0.207534408385226,0.237640862221029,0.162822062252695,0.101999964631828,0.0719691067016411,0.0489573486038434,0.0356215128868289,0.0268623882497255,0.0196071285216843,0.0153416135570494,0.0127160126866176,0.0109237812165227,0.00965117209904078,0.00904515348520796,0.0145549469876809,1,3419.91581819335
"17","BRA",0.000688158334629672,0.190552300154575,0.276340065940331,0.208705847346196,0.12700335040885,0.064970264092621,0.0367086536959233,0.0247029150404994,0.0176350137654737,0.0125965033715539,0.0094315387319964,0.00742879428710397,0.00604807509186324,0.00515029688216519,0.00467624485809322,0.00736197799812589,1,95045.2195013691
"18","BRN",1.52441462673514e-05,0.0271963614705747,0.0702500829493354,0.114176427104811,0.125746329132064,0.118406732750859,0.106158723891848,0.0957494738560387,0.0835415742476063,0.067123043828213,0.0525259753111449,0.0405500683854406,0.0308337373261726,0.0243670573968866,0.0201454440924653,0.0232137241102725,1,2769.58366895172
"19","BWA",0,0.00297453392901783,0.26799995590565,0.334137841881861,0.173034719353781,0.0987357986662234,0.0503884551406818,0.0257330559921085,0.0154736942166852,0.00987597848700181,0.00651144527687658,0.00474127799936027,0.00347093073772556,0.00265620568803405,0.00214474684879049,0.00212135987620366,1,6961.35372802086
"20","CAN",0.00457137017385697,0.114927858061274,0.286486765566149,0.250218392908838,0.130530469526926,0.0746518645822908,0.0427959480081075,0.0269662470103995,0.0188351165218476,0.0132327386665175,0.00965186821782609,0.00746762407022971,0.00584850024643638,0.00477571824457179,0.00414260416066203,0.00489691403406553,1,111340.445176522
