"","region","species","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT","emis_ty"
"1","EU-27","CO2",0.0090406335649053,0.142255453555693,0.23985507406767,0.234614670705905,0.159108833695556,0.0881555502014984,0.0443651996373384,0.0244904679787101,0.0161057096328868,0.0112921435925552,0.00828829437787687,0.00634262221113473,0.00496103404984498,0.00400778367052428,0.00337561489698008,0.00374091416092017,1,952290511.960618
"2","EU-27","NOx",0.0243396761075798,0.129554847003106,0.235927629696077,0.236959880326682,0.15775371001665,0.087538572810676,0.04520364188427,0.0251020672845123,0.0162546471972544,0.0113323021040453,0.0082445500285045,0.006249273940819,0.00486110079317861,0.00390473612192332,0.00326142064237536,0.00351194404234731,1,729460.753923251
"3","EU-27","SOx",0.00713026494420892,0.0627540619013445,0.198114213920175,0.249789437928512,0.195918323680571,0.119830600984213,0.0616958614328592,0.0324537166598049,0.0203142023190174,0.0140250976335514,0.0102821646361357,0.00788124812832863,0.00619265987713921,0.00501145797522895,0.00419399686488175,0.00441269111402793,1,628681.325532814
"4","EU-27","CO",0.0224270019922608,0.181492030701656,0.240893243243604,0.199921684453265,0.139161484538018,0.0822690178386258,0.0447816829698327,0.0256581750614723,0.0170278333927507,0.0120049727003913,0.00888540605820264,0.00690815198873731,0.00550240311363304,0.00453932802882632,0.00389229298319908,0.0046352909355252,1,400483.347003426
"5","EU-27","CH4",0.0203301014346252,0.288657410747068,0.227442872640182,0.184398489761668,0.11261636144981,0.0629369163627922,0.0339581377121784,0.0202351270129099,0.0138929448920871,0.00983997928715682,0.00713825373937054,0.00539671365881355,0.00414336364954244,0.00323426527005958,0.0027537726825231,0.00302528969921251,1,57766.9994718984
"6","East Asia excluding China","CO2",0.00514405609012371,0.0838444390711133,0.180701829294147,0.205690406602389,0.162864613317128,0.10668359500881,0.0680854907968837,0.0510876026924109,0.0392717468095485,0.0280692909580485,0.0199779301125427,0.0145822105584947,0.0108676744698322,0.00844398257547752,0.00698182370591934,0.00770330793713083,1,929910275.086603
"7","East Asia excluding China","NOx",0.00405700111840529,0.068807406268081,0.178668151712836,0.211787743974532,0.16881575714863,0.110080396113137,0.0681698038770546,0.0505704388503123,0.0393821559173376,0.0286397373905025,0.0206126413146892,0.0150877903824864,0.0112847086068951,0.00877936473711911,0.00728816754969236,0.00796873503828919,1,866088.860473363
"8","East Asia excluding China","SOx",0.000939674302537555,0.0409793425708197,0.177850964212169,0.228885745187193,0.180515607741904,0.11442534690317,0.0696921000444705,0.05102394454042,0.0392360310930673,0.0282154975627001,0.0201434720308893,0.0146801656033797,0.0109665426869822,0.00846200939690004,0.00689006655573435,0.00709348956766462,1,304099.998918549
"9","East Asia excluding China","CO",0.0113316372849133,0.16082019227463,0.200775923029186,0.172249072722196,0.120250648054288,0.0853907460238065,0.0614887230986258,0.0473290220006479,0.0360639627696059,0.0262956834432414,0.0195765850685798,0.0152040090692386,0.0119729929646299,0.00998722599351814,0.00878276191686008,0.0124808142860319,1,579521.125897062
"10","East Asia excluding China","CH4",0.00753817750700219,0.348662502392987,0.207517274953258,0.137468295949615,0.0955440111257972,0.0608858045445053,0.0391871194981585,0.0287474151161875,0.0214302358859146,0.0151758963843351,0.0108229514275419,0.00794798873259298,0.00596785938043263,0.00469045927082132,0.00391099552657521,0.00450301230427591,1,23631.9010377008
"11","Former USSR","CO2",0.00279680179197275,0.0901197531250485,0.218127449153204,0.242683935139496,0.180663246569039,0.109141416764602,0.0553351149682754,0.0308556175175955,0.0198735096744979,0.0134993963481354,0.00982285137203136,0.00752638166408893,0.00590191260359916,0.00482549816831438,0.0041004232641954,0.00472669187590453,1,818771784.309412
"12","Former USSR","NOx",0.0025610349212821,0.0829374314520245,0.220050493817736,0.248523263656551,0.181675360069588,0.10889843494459,0.0550933835785062,0.0305862602580008,0.0196872170703881,0.0133841702497195,0.00974009960961051,0.00746950899498779,0.00585911036490259,0.00479340737654681,0.0040708808080929,0.00466994282747374,1,1411816.12541052
"13","Former USSR","SOx",5.14556271089114e-05,0.00295912461226196,0.238047227251575,0.30511893148699,0.192730492578211,0.109724451327666,0.055200002677351,0.0298770657165021,0.0189745354299417,0.0129384841206794,0.00936322231635022,0.0071982931559166,0.0056282733216413,0.00456962073424855,0.00380026919751254,0.0038185504460438,1,2832703.19091985
"14","Former USSR","CO",0.00470557720077487,0.152472730884534,0.218557023489482,0.199206923606218,0.163568656881753,0.10370290984459,0.0542129202872983,0.0314869609250986,0.0206074595919135,0.013913384592613,0.0100690347956214,0.00762876515755143,0.00593297699785323,0.00482840484971762,0.00412505932990913,0.0049812115650723,1,290008.365631675
"15","Former USSR","CH4",0.00367718405851733,0.124920881363532,0.219793061132981,0.224318847434273,0.171293854179276,0.104419832341795,0.0531964816544155,0.0299972661475294,0.019410104578335,0.0131509822942834,0.00954640488590838,0.00728713707470378,0.00569679864641507,0.00465324585030804,0.00396478416119766,0.00467313419652855,1,12309.482114099
"16","Middle East","CO2",0.00519916839824365,0.201398283151988,0.294120377571217,0.198381513123535,0.114486672568513,0.0635272987957523,0.0368552541951889,0.0239304322365173,0.016891788592218,0.0120444301115977,0.0088653848011308,0.00677674575692016,0.00529121626755798,0.00430682823563894,0.00364784663262219,0.0042767595613595,1,922173097.21557
"17","Middle East","NOx",0.00371798368493272,0.193135399441528,0.305668433420765,0.207751335228983,0.115989067200484,0.0613337377325911,0.0349785102349164,0.0223286006830949,0.0154310805796905,0.0108862294664392,0.0079021103077297,0.00594617054363382,0.0045951928141009,0.00369766998081204,0.00309997225108108,0.00353850642921791,1,1237002.57444336
"18","Middle East","SOx",8.7180713455895e-05,0.117958255483995,0.315438278922035,0.262806653191523,0.143104717393898,0.0661026475874428,0.0336311277904997,0.0194123782873369,0.0125509641466394,0.00862880167594582,0.00603408432615702,0.00435164930739167,0.00326353868507814,0.0025060412232303,0.00202780497040944,0.00209587629496283,1,2753400.75184533
"19","Middle East","CO",0.00614666338928597,0.22833165794342,0.295815732314055,0.180726647509308,0.103780973449129,0.0600298516030268,0.0362221277300781,0.0243088375123285,0.0173957876542433,0.012443406362837,0.00920381553903466,0.0070718128692033,0.00553974417461972,0.00454163170108942,0.0038644989033069,0.00457681134503466,1,384134.542848273
"20","Middle East","CH4",0.00406828842615713,0.208025136919367,0.30782525675588,0.198451385455712,0.109765778559416,0.0590164475649343,0.0344557825521939,0.0223833517366218,0.0155605101393682,0.0110074279966694,0.00801400548984217,0.00604806188658808,0.00469025035974569,0.00379520280108082,0.00319461538953645,0.00369849796688673,1,21007.3724868234
