"","ISO3","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT","emis_ty"
"1","AGO",4.49252354739456e-08,0.0273138957503908,0.186792033338802,0.212617331540398,0.192089235520637,0.11606306203067,0.0745098166490269,0.0502089579489107,0.0359377001332097,0.0282712029644748,0.0216340871809225,0.0164014318127124,0.0124505046817301,0.00965118222865168,0.00767123448638957,0.00838827880783928,1,6995.09414112537
"2","ARE",0.0010271501570716,0.18116089920724,0.30810866689967,0.222200269206926,0.119195497034647,0.0592507829591443,0.0341321986141724,0.022497822286931,0.0156791163765011,0.0107198802105206,0.00759352244780768,0.00552937685998689,0.0041423190535657,0.00330536760755296,0.00267980462977313,0.0027773264484887,1,8705.22676454489
"3","ARG",0.00127772052760981,0.162651146666698,0.326497031496525,0.233613073019726,0.120983274367398,0.060187572123213,0.0325203991512545,0.0192520531695027,0.0122969168588747,0.00847360712514601,0.0061168332559,0.00453973140206505,0.0035408086619395,0.00281332214275086,0.00233290920112324,0.00290360083027306,1,20817.4624321677
"4","ARM",0.0188084747179175,0.246578765145509,0.265086811925708,0.139183010765111,0.0911217665354407,0.0641619703156006,0.0431044217921245,0.0311017506203663,0.0226333855934491,0.0167795250838912,0.0131659090005104,0.0109830187928723,0.0094521026271409,0.0084275029611459,0.0078227980004838,0.0115887861227288,1,74.2952170686501
"5","AUS",8.22777731784569e-05,0.00224025586513611,0.104637036760843,0.240331912868529,0.224314231694847,0.148497282969105,0.085156844684472,0.0550350938281319,0.037925678267214,0.0274508757020441,0.0200669497048253,0.0150664171966631,0.0115951598294531,0.00953880102628054,0.00823682835169632,0.00982435347758089,1,478222.666627918
"6","AUT",0.000236515782859518,0.580019562227605,0.177242800858014,0.114385822762766,0.0604683066073527,0.0294069826017494,0.0133314135685775,0.00691914854216983,0.0043154187151811,0.00308251560189972,0.00246384430125169,0.00223031316848473,0.00181705663995555,0.00148582260605742,0.00127626050734173,0.00131821550873537,1,712.870888068381
"7","AZE",0.00836714031557417,0.215504830214151,0.276871981751209,0.191317464115579,0.104678697111496,0.0625986332781828,0.0392498144969604,0.0269451466960099,0.0192595581142295,0.0138610476588416,0.0104639616351275,0.00814943550346453,0.00655064347602853,0.00543350063104559,0.00472227410783327,0.0060258708942667,1,770.614457097786
"8","BEL",0.00268405992718188,0.683682528301765,0.153403605386681,0.0579500670543149,0.035842558626491,0.0229012467774163,0.0138550226834862,0.00894694677113711,0.0063365005682853,0.00414300730990421,0.00305732694519947,0.00214893714180617,0.00159806323958511,0.00130856225961946,0.0010958070094421,0.00104575999768406,1,1491.48215
"9","BEN",0,0.0550258675960769,0.303012293245652,0.319851428374999,0.164069789908217,0.0703932371681436,0.0335788801735469,0.0183393506868967,0.0112577678926528,0.00744818729230148,0.00506921051374377,0.00345431047364882,0.00267129265959216,0.00203944241484065,0.00176006712932941,0.00202887447035844,1,27.9646961430798
"10","BFA",0,0.152314129789061,0.312257222344966,0.237432477314833,0.127566976948794,0.0674472037825856,0.0384868185291085,0.0225584112969174,0.0132942924783342,0.00825563992001162,0.0053894792410443,0.00387639377544072,0.00307919527379419,0.00257030188512756,0.00240226538282327,0.00306919203715828,1,2009.87773461915
"11","BGD",2.06542448985415e-06,0.115450914502411,0.317333591616953,0.270559035378324,0.135368182670413,0.0579862655045993,0.0341370846486026,0.0217782258295994,0.0142678826353224,0.0100498332446587,0.00715912569310744,0.00505115971796774,0.00372051291709915,0.00279461798156938,0.00218894200938347,0.0021525602254991,1,107869.645831644
"12","BGR",5.8208403915164e-06,0.00020341561699134,0.0936274392075179,0.189522668814828,0.266332609024896,0.21865049828574,0.100867409175783,0.0438815120862846,0.0256299652807647,0.0169888106562723,0.0125352882813273,0.0093418763509986,0.00726816329336658,0.00566668097255234,0.00480283118723196,0.00467501092505312,1,56595.1872253623
"13","BHR",0.00240877839949532,0.253507822046684,0.287238780406313,0.163192126632426,0.0860749216146202,0.0548362602416788,0.0353692531051029,0.0261040829943957,0.0208970866414488,0.0164128007535422,0.0131773656794636,0.0109194332282899,0.00864685992398679,0.00735229608176377,0.00630480265225907,0.0075573295985302,1,1038.0758348234
"14","BIH",0,0,0.135237560824248,0.237949163460823,0.22094274421071,0.149611474185256,0.0834447404222062,0.0453961281547242,0.0304196695470994,0.0233872526239316,0.0182510247249651,0.014870488580077,0.0122414700128836,0.010242068551247,0.00860186156127905,0.00940435314054989,1,61136.278952762
"15","BLR",0.00212839492163162,0.140752476019501,0.202036144858391,0.223164521768982,0.185018408125454,0.0976715095953932,0.0499558579960702,0.0297043838795811,0.019755857836341,0.0136139049150279,0.00977518802731211,0.00733848936440334,0.00566315769395839,0.00463499683035907,0.00402030887650358,0.00476639929108964,1,1211.49317971412
"16","BOL",0.0147525375133799,0.207534408385226,0.237640862221029,0.162822062252695,0.101999964631827,0.0719691067016411,0.0489573486038434,0.0356215128868289,0.0268623882497255,0.0196071285216843,0.0153416135570494,0.0127160126866176,0.0109237812165227,0.00965117209904077,0.00904515348520795,0.0145549469876809,1,176.476330984895
"17","BRA",0.000158037253834414,0.0814962927877398,0.278205477786904,0.280551700662184,0.177162153529697,0.0763044827178475,0.0356464348421304,0.022310090567496,0.014919554044147,0.00971317583370739,0.00655358336508533,0.00471679437671112,0.00358690643170307,0.00287965455803666,0.00246421605654522,0.00333144518623134,1,63735.1555874778
"18","BRN",1.52441462673514e-05,0.0271963614705747,0.0702500829493354,0.114176427104811,0.125746329132064,0.118406732750859,0.106158723891848,0.0957494738560387,0.0835415742476063,0.067123043828213,0.0525259753111449,0.0405500683854406,0.0308337373261726,0.0243670573968866,0.0201454440924653,0.0232137241102725,1,136.73611296493
"19","BWA",0,0.000117404418539269,0.266773856900562,0.335812155591908,0.173928785130104,0.099409728448399,0.0507336064675774,0.0259031013320904,0.015582883471806,0.00994235175670715,0.00655384973917664,0.00477503531339943,0.00349530064929193,0.00267513509098994,0.00216030868324007,0.00213649700621072,1,30245.8278632408
